,Country,EdLevel,YearsCodePro,Salary
1434,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,68276.0
1438,United States of America,Less than a Bachelors,36.0,128000.0
1439,United States of America,Bachelor’s degree,33.0,205000.0
1441,Austria,Master’s degree,7.0,69608.0
1445,United States of America,Bachelor’s degree,2.0,117000.0
1446,United States of America,Less than a Bachelors,12.0,170000.0
1457,United States of America,Bachelor’s degree,0.5,85000.0
1460,France,Bachelor’s degree,11.0,109231.0
1461,United States of America,Bachelor’s degree,22.0,161000.0
1462,United States of America,Less than a Bachelors,15.0,135000.0
1465,Germany,Bachelor’s degree,11.0,64254.0
1472,Sweden,Bachelor’s degree,6.0,73713.0
1474,United States of America,Bachelor’s degree,2.0,105000.0
1475,Canada,Master’s degree,0.5,69147.0
1478,United States of America,Less than a Bachelors,20.0,225000.0
1480,Austria,Master’s degree,10.0,80317.0
1484,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,99311.0
1485,Norway,Master’s degree,31.0,77927.0
1486,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,55862.0
1491,United States of America,Less than a Bachelors,8.0,85000.0
1493,Germany,Post grad,10.0,85672.0
1495,United States of America,Post grad,7.0,172000.0
1497,Canada,Master’s degree,20.0,81787.0
1504,United States of America,Bachelor’s degree,8.0,285000.0
1506,United States of America,Less than a Bachelors,5.0,94000.0
1507,Brazil,Bachelor’s degree,4.0,24345.0
1509,United States of America,Bachelor’s degree,9.0,188000.0
1520,Netherlands,Less than a Bachelors,16.0,64254.0
1521,Norway,Bachelor’s degree,6.0,83364.0
1526,Sweden,Bachelor’s degree,2.0,40082.0
1527,Netherlands,Less than a Bachelors,10.0,38552.0
1529,Canada,Bachelor’s degree,4.0,79556.0
1533,Germany,Master’s degree,6.0,64254.0
1534,United States of America,Bachelor’s degree,29.0,200000.0
1540,France,Master’s degree,9.0,90491.0
1543,Austria,Less than a Bachelors,7.0,51799.0
1546,Netherlands,Master’s degree,3.0,58899.0
1548,Germany,Less than a Bachelors,21.0,64254.0
1550,Canada,Master’s degree,18.0,102605.0
1558,Germany,Bachelor’s degree,9.0,107090.0
1563,Germany,Bachelor’s degree,8.0,98522.0
1565,India,Bachelor’s degree,5.0,54359.0
1566,United States of America,Bachelor’s degree,5.0,150000.0
1567,Italy,Less than a Bachelors,11.0,36410.0
1573,Germany,Master’s degree,15.0,107090.0
1578,United States of America,Bachelor’s degree,23.0,79000.0
1581,Poland,Less than a Bachelors,3.0,40435.0
1585,United States of America,Bachelor’s degree,1.0,50000.0
1587,Germany,Master’s degree,11.0,77104.0
1597,Canada,Bachelor’s degree,22.0,111527.0
1599,Spain,Less than a Bachelors,7.0,62112.0
1602,United States of America,Master’s degree,10.0,238000.0
1603,United States of America,Post grad,8.0,120000.0
1604,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,68276.0
1605,United States of America,Bachelor’s degree,6.0,75000.0
1609,Brazil,Master’s degree,17.0,60863.0
1612,Netherlands,Less than a Bachelors,2.0,25701.0
1617,Australia,Less than a Bachelors,25.0,83952.0
1621,Canada,Bachelor’s degree,30.0,66916.0
1622,Australia,Bachelor’s degree,8.0,134521.0
1624,Germany,Less than a Bachelors,3.0,30842.0
1627,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,44690.0
1629,Germany,Master’s degree,5.0,85672.0
1630,United States of America,Bachelor’s degree,5.0,80000.0
1632,United States of America,Bachelor’s degree,35.0,125000.0
1633,Poland,Bachelor’s degree,2.0,43354.0
1634,Germany,Master’s degree,7.0,81388.0
1638,Poland,Master’s degree,2.0,28711.0
1640,United States of America,Bachelor’s degree,5.0,145000.0
1642,Netherlands,Bachelor’s degree,13.0,57120.0
1643,Portugal,Master’s degree,4.0,52474.0
1646,Italy,Master’s degree,19.0,29985.0
